[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-27 19:45:02,317: Logging to: logs/2017_Oct_27/OpenCVCamera/19_45_02.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-27 19:45:08,621: Loading capture '1'
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:09,475: received 1 messages in 3 seconds. 1 received in total (avg=0.1 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:12,504: received 90 messages in 3 seconds. 91 received in total (avg=8.9 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:15,531: received 91 messages in 3 seconds. 182 received in total (avg=13.8 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-27 19:45:17,261: [log buffer start]
[DEBUG, 1509147913.0752542]: ImageMessage(t=1509147913.0752475, n=107)
[DEBUG, 1509147913.1052327]: ImageMessage(t=1509147913.105221, n=108)
[DEBUG, 1509147913.1368575]: ImageMessage(t=1509147913.1368465, n=109)
[DEBUG, 1509147913.1708283]: ImageMessage(t=1509147913.1708176, n=110)
[DEBUG, 1509147913.2169123]: ImageMessage(t=1509147913.2169032, n=111)
[DEBUG, 1509147913.2419012]: ImageMessage(t=1509147913.2418957, n=112)
[DEBUG, 1509147913.2656617]: ImageMessage(t=1509147913.2656527, n=113)
[DEBUG, 1509147913.3020725]: ImageMessage(t=1509147913.302063, n=114)
[DEBUG, 1509147913.3349717]: ImageMessage(t=1509147913.3349605, n=115)
[DEBUG, 1509147913.3706813]: ImageMessage(t=1509147913.3706725, n=116)
[DEBUG, 1509147913.397876]: ImageMessage(t=1509147913.397866, n=117)
[DEBUG, 1509147913.4361281]: ImageMessage(t=1509147913.436119, n=118)
[DEBUG, 1509147913.4703903]: ImageMessage(t=1509147913.4703789, n=119)
[DEBUG, 1509147913.5015206]: ImageMessage(t=1509147913.5015118, n=120)
[DEBUG, 1509147913.5421357]: ImageMessage(t=1509147913.5421257, n=121)
[DEBUG, 1509147913.583639]: ImageMessage(t=1509147913.5836341, n=122)
[DEBUG, 1509147913.5939412]: ImageMessage(t=1509147913.593935, n=123)
[DEBUG, 1509147913.6321845]: ImageMessage(t=1509147913.6321774, n=124)
[DEBUG, 1509147913.6678648]: ImageMessage(t=1509147913.6678538, n=125)
[DEBUG, 1509147913.702233]: ImageMessage(t=1509147913.702221, n=126)
[DEBUG, 1509147913.738701]: ImageMessage(t=1509147913.738691, n=127)
[DEBUG, 1509147913.7666752]: ImageMessage(t=1509147913.766665, n=128)
[DEBUG, 1509147913.8049626]: ImageMessage(t=1509147913.804957, n=129)
[DEBUG, 1509147913.8306017]: ImageMessage(t=1509147913.8305929, n=130)
[DEBUG, 1509147913.8798182]: ImageMessage(t=1509147913.8798075, n=131)
[DEBUG, 1509147913.9013011]: ImageMessage(t=1509147913.9012911, n=132)
[DEBUG, 1509147913.934117]: ImageMessage(t=1509147913.9341044, n=133)
[DEBUG, 1509147913.9730124]: ImageMessage(t=1509147913.9730058, n=134)
[DEBUG, 1509147913.9937096]: ImageMessage(t=1509147913.9937036, n=135)
[DEBUG, 1509147914.0331638]: ImageMessage(t=1509147914.0331576, n=136)
[DEBUG, 1509147914.0653274]: ImageMessage(t=1509147914.0653195, n=137)
[DEBUG, 1509147914.1007023]: ImageMessage(t=1509147914.1006935, n=138)
[DEBUG, 1509147914.130749]: ImageMessage(t=1509147914.130737, n=139)
[DEBUG, 1509147914.166526]: ImageMessage(t=1509147914.1665154, n=140)
[DEBUG, 1509147914.19944]: ImageMessage(t=1509147914.1994278, n=141)
[DEBUG, 1509147914.251667]: ImageMessage(t=1509147914.251656, n=142)
[DEBUG, 1509147914.2902544]: ImageMessage(t=1509147914.290249, n=143)
[DEBUG, 1509147914.2961528]: ImageMessage(t=1509147914.2961476, n=144)
[DEBUG, 1509147914.3282435]: ImageMessage(t=1509147914.3282337, n=145)
[DEBUG, 1509147914.3666983]: ImageMessage(t=1509147914.3666868, n=146)
[DEBUG, 1509147914.398435]: ImageMessage(t=1509147914.3984256, n=147)
[DEBUG, 1509147914.427791]: ImageMessage(t=1509147914.4277802, n=148)
[DEBUG, 1509147914.4666848]: ImageMessage(t=1509147914.466673, n=149)
[DEBUG, 1509147914.509118]: ImageMessage(t=1509147914.509113, n=150)
[DEBUG, 1509147914.5274355]: ImageMessage(t=1509147914.5274262, n=151)
[DEBUG, 1509147914.5636547]: ImageMessage(t=1509147914.5636463, n=152)
[DEBUG, 1509147914.5985024]: ImageMessage(t=1509147914.598491, n=153)
[DEBUG, 1509147914.6306782]: ImageMessage(t=1509147914.6306663, n=154)
[DEBUG, 1509147914.6674156]: ImageMessage(t=1509147914.6674068, n=155)
[DEBUG, 1509147914.6984653]: ImageMessage(t=1509147914.6984556, n=156)
[DEBUG, 1509147914.740342]: ImageMessage(t=1509147914.740337, n=157)
[DEBUG, 1509147914.758978]: ImageMessage(t=1509147914.7589707, n=158)
[DEBUG, 1509147914.7933555]: ImageMessage(t=1509147914.793349, n=159)
[DEBUG, 1509147914.8300753]: ImageMessage(t=1509147914.8300645, n=160)
[DEBUG, 1509147914.8708112]: ImageMessage(t=1509147914.870805, n=161)
[DEBUG, 1509147914.8979695]: ImageMessage(t=1509147914.8979592, n=162)
[DEBUG, 1509147914.9363394]: ImageMessage(t=1509147914.9363325, n=163)
[DEBUG, 1509147914.9651432]: ImageMessage(t=1509147914.9651341, n=164)
[DEBUG, 1509147915.0003614]: ImageMessage(t=1509147915.0003514, n=165)
[DEBUG, 1509147915.0330288]: ImageMessage(t=1509147915.0330164, n=166)
[DEBUG, 1509147915.0679357]: ImageMessage(t=1509147915.0679257, n=167)
[DEBUG, 1509147915.10032]: ImageMessage(t=1509147915.100315, n=168)
[DEBUG, 1509147915.1287203]: ImageMessage(t=1509147915.128709, n=169)
[DEBUG, 1509147915.158928]: ImageMessage(t=1509147915.158922, n=170)
[DEBUG, 1509147915.194946]: ImageMessage(t=1509147915.1949356, n=171)
[DEBUG, 1509147915.2322807]: ImageMessage(t=1509147915.23227, n=172)
[DEBUG, 1509147915.262457]: ImageMessage(t=1509147915.2624457, n=173)
[DEBUG, 1509147915.2953544]: ImageMessage(t=1509147915.2953465, n=174)
[DEBUG, 1509147915.3358345]: ImageMessage(t=1509147915.3358288, n=175)
[DEBUG, 1509147915.359562]: ImageMessage(t=1509147915.3595526, n=176)
[DEBUG, 1509147915.3930979]: ImageMessage(t=1509147915.3930883, n=177)
[DEBUG, 1509147915.4326835]: ImageMessage(t=1509147915.4326158, n=178)
[DEBUG, 1509147915.4634569]: ImageMessage(t=1509147915.4634461, n=179)
[DEBUG, 1509147915.4938931]: ImageMessage(t=1509147915.493882, n=180)
[DEBUG, 1509147915.5307794]: ImageMessage(t=1509147915.5307708, n=181)
[DEBUG, 1509147915.5742323]: ImageMessage(t=1509147915.5742269, n=182)
[DEBUG, 1509147915.5902185]: ImageMessage(t=1509147915.5902116, n=183)
[DEBUG, 1509147915.6276762]: ImageMessage(t=1509147915.6276665, n=184)
[DEBUG, 1509147915.661593]: ImageMessage(t=1509147915.6615827, n=185)
[DEBUG, 1509147915.6936798]: ImageMessage(t=1509147915.6936693, n=186)
[DEBUG, 1509147915.730327]: ImageMessage(t=1509147915.7303176, n=187)
[DEBUG, 1509147915.7615547]: ImageMessage(t=1509147915.7615454, n=188)
[DEBUG, 1509147915.8051257]: ImageMessage(t=1509147915.8051202, n=189)
[DEBUG, 1509147915.8276935]: ImageMessage(t=1509147915.8276868, n=190)
[DEBUG, 1509147915.8603454]: ImageMessage(t=1509147915.8603354, n=191)
[DEBUG, 1509147915.8950527]: ImageMessage(t=1509147915.8950403, n=192)
[DEBUG, 1509147915.929686]: ImageMessage(t=1509147915.929675, n=193)
[DEBUG, 1509147915.9615343]: ImageMessage(t=1509147915.9615257, n=194)
[DEBUG, 1509147915.9998314]: ImageMessage(t=1509147915.9998245, n=195)
[DEBUG, 1509147916.0283265]: ImageMessage(t=1509147916.0283172, n=196)
[DEBUG, 1509147916.058624]: ImageMessage(t=1509147916.0586147, n=197)
[DEBUG, 1509147916.0937612]: ImageMessage(t=1509147916.09375, n=198)
[DEBUG, 1509147916.1296813]: ImageMessage(t=1509147916.1296687, n=199)
[DEBUG, 1509147916.1647925]: ImageMessage(t=1509147916.1647284, n=200)
[DEBUG, 1509147916.2070253]: ImageMessage(t=1509147916.2070153, n=201)
[DEBUG, 1509147916.2441885]: ImageMessage(t=1509147916.244183, n=202)
[DEBUG, 1509147916.2567978]: ImageMessage(t=1509147916.2567925, n=203)
[DEBUG, 1509147916.2906466]: ImageMessage(t=1509147916.2906382, n=204)
[DEBUG, 1509147916.3299935]: ImageMessage(t=1509147916.329981, n=205)
[DEBUG, 1509147916.3838103]: ImageMessage(t=1509147916.3838048, n=206)
[DEBUG, 1509147916.398761]: ImageMessage(t=1509147916.3987556, n=207)
[DEBUG, 1509147916.4282236]: ImageMessage(t=1509147916.4282148, n=208)
[DEBUG, 1509147916.4626732]: ImageMessage(t=1509147916.4626622, n=209)
[DEBUG, 1509147916.4964285]: ImageMessage(t=1509147916.4964175, n=210)
[DEBUG, 1509147916.5432427]: ImageMessage(t=1509147916.5432336, n=211)
[DEBUG, 1509147916.5616033]: ImageMessage(t=1509147916.5615923, n=212)
[DEBUG, 1509147916.6048005]: ImageMessage(t=1509147916.604795, n=213)
[DEBUG, 1509147916.6284869]: ImageMessage(t=1509147916.628479, n=214)
[DEBUG, 1509147916.6721096]: ImageMessage(t=1509147916.6720998, n=215)
[DEBUG, 1509147916.6956096]: ImageMessage(t=1509147916.695598, n=216)
[DEBUG, 1509147916.7296374]: ImageMessage(t=1509147916.729625, n=217)
[DEBUG, 1509147916.761857]: ImageMessage(t=1509147916.7618456, n=218)
[DEBUG, 1509147916.8029256]: ImageMessage(t=1509147916.802917, n=219)
[DEBUG, 1509147916.829975]: ImageMessage(t=1509147916.8299642, n=220)
[DEBUG, 1509147916.8618789]: ImageMessage(t=1509147916.8618689, n=221)
[DEBUG, 1509147916.8968358]: ImageMessage(t=1509147916.8968205, n=222)
[DEBUG, 1509147916.9769135]: ImageMessage(t=1509147916.9769077, n=223)
[DEBUG, 1509147916.9832673]: ImageMessage(t=1509147916.9832618, n=224)
[DEBUG, 1509147917.005716]: ImageMessage(t=1509147917.0057075, n=225)
[DEBUG, 1509147917.0283062]: ImageMessage(t=1509147917.028295, n=226)
[DEBUG, 1509147917.0746605]: ImageMessage(t=1509147917.074656, n=227)
[DEBUG, 1509147917.0883958]: ImageMessage(t=1509147917.0883896, n=228)
[DEBUG, 1509147917.1265042]: ImageMessage(t=1509147917.1264958, n=229)
[DEBUG, 1509147917.1617997]: ImageMessage(t=1509147917.161788, n=230)
[DEBUG, 1509147917.195812]: ImageMessage(t=1509147917.1957996, n=231)
[DEBUG, 1509147917.230652]: ImageMessage(t=1509147917.2306402, n=232)
[DEBUG, 1509147917.2611747]: ImageMessage(t=1509147917.2611625, n=233)
[log buffer end]
[OpenCVCamera @ node.py:81][DEBUG] 2017-10-27 19:45:17,262: logging message buffer (len=16413)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:18,559: received 91 messages in 3 seconds. 273 received in total (avg=16.8 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:21,591: received 91 messages in 3 seconds. 364 received in total (avg=18.9 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:24,595: received 90 messages in 3 seconds. 454 received in total (avg=20.4 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-27 19:45:24,987: [log buffer start]
