[QuadEncoder @ factory.py:85][DEBUG] 2017-11-15 17:48:33,319: Logging to: logs/2017_Nov_15/QuadEncoder/17_48_33.log
[QuadEncoder @ arduino.py:88][INFO] 2017-11-15 17:48:38,273: configuring done. Finding whoiam=Quadrature-Encoder
[QuadEncoder @ arduino.py:55][INFO] 2017-11-15 17:48:38,273: Quadrature-Encoder's setup complete
[QuadEncoder @ arduino.py:159][INFO] 2017-11-15 17:48:39,560: Device has started!
[QuadEncoder @ arduino.py:160][INFO] 2017-11-15 17:48:39,563: init packet: 
[QuadEncoder @ quad_encoder.py:86][INFO] 2017-11-15 17:48:39,769: start tick value: 0
[QuadEncoder @ arduino.py:188][INFO] 2017-11-15 17:48:42,566: found 113 packets in 3s (avg=37.7 packets/sec). 113 received in total (avg=37.6 packets/sec)
[QuadEncoder @ node.py:79][DEBUG] 2017-11-15 17:48:42,846: [log buffer start]
[DEBUG, 1510786121.3665268]: EncoderMessage(t=1510786121.3665268, n=64, pt=1510786121.345908, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.3974216]: EncoderMessage(t=1510786121.3974216, n=65, pt=1510786121.3665268, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.418289]: EncoderMessage(t=1510786121.418289, n=66, pt=1510786121.3974216, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.4391747]: EncoderMessage(t=1510786121.4391747, n=67, pt=1510786121.418289, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.4701998]: EncoderMessage(t=1510786121.4701998, n=68, pt=1510786121.4391747, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.4908192]: EncoderMessage(t=1510786121.4908192, n=69, pt=1510786121.4701998, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.5219643]: EncoderMessage(t=1510786121.5219643, n=70, pt=1510786121.4908192, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.5426435]: EncoderMessage(t=1510786121.5426435, n=71, pt=1510786121.5219643, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.563265]: EncoderMessage(t=1510786121.563265, n=72, pt=1510786121.5426435, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.5942254]: EncoderMessage(t=1510786121.5942254, n=73, pt=1510786121.563265, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.614972]: EncoderMessage(t=1510786121.614972, n=74, pt=1510786121.5942254, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.6459196]: EncoderMessage(t=1510786121.6459196, n=75, pt=1510786121.614972, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.6667645]: EncoderMessage(t=1510786121.6667645, n=76, pt=1510786121.6459196, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.6977534]: EncoderMessage(t=1510786121.6977534, n=77, pt=1510786121.6667645, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.718401]: EncoderMessage(t=1510786121.718401, n=78, pt=1510786121.6977534, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.7392645]: EncoderMessage(t=1510786121.7392645, n=79, pt=1510786121.718401, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.7703583]: EncoderMessage(t=1510786121.7703583, n=80, pt=1510786121.7392645, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.791107]: EncoderMessage(t=1510786121.791107, n=81, pt=1510786121.7703583, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.8219974]: EncoderMessage(t=1510786121.8219974, n=82, pt=1510786121.791107, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.842735]: EncoderMessage(t=1510786121.842735, n=83, pt=1510786121.8219974, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.873696]: EncoderMessage(t=1510786121.873696, n=84, pt=1510786121.842735, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.8945692]: EncoderMessage(t=1510786121.8945692, n=85, pt=1510786121.873696, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.915343]: EncoderMessage(t=1510786121.915343, n=86, pt=1510786121.8945692, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.9462948]: EncoderMessage(t=1510786121.9462948, n=87, pt=1510786121.915343, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.9670637]: EncoderMessage(t=1510786121.9670637, n=88, pt=1510786121.9462948, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.9981744]: EncoderMessage(t=1510786121.9981744, n=89, pt=1510786121.9670637, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.0188406]: EncoderMessage(t=1510786122.0188406, n=90, pt=1510786121.9981744, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.0394647]: EncoderMessage(t=1510786122.0394647, n=91, pt=1510786122.0188406, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.0704176]: EncoderMessage(t=1510786122.0704176, n=92, pt=1510786122.0394647, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.0911353]: EncoderMessage(t=1510786122.0911353, n=93, pt=1510786122.0704176, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.1219788]: EncoderMessage(t=1510786122.1219788, n=94, pt=1510786122.0911353, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.1427567]: EncoderMessage(t=1510786122.1427567, n=95, pt=1510786122.1219788, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.173567]: EncoderMessage(t=1510786122.173567, n=96, pt=1510786122.1427567, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.1941786]: EncoderMessage(t=1510786122.1941786, n=97, pt=1510786122.173567, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.2149382]: EncoderMessage(t=1510786122.2149382, n=98, pt=1510786122.1941786, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.2461083]: EncoderMessage(t=1510786122.2461083, n=99, pt=1510786122.2149382, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.2667964]: EncoderMessage(t=1510786122.2667964, n=100, pt=1510786122.2461083, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.2976081]: EncoderMessage(t=1510786122.2976081, n=101, pt=1510786122.2667964, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.3182082]: EncoderMessage(t=1510786122.3182082, n=102, pt=1510786122.2976081, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.349182]: EncoderMessage(t=1510786122.349182, n=103, pt=1510786122.3182082, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.369903]: EncoderMessage(t=1510786122.369903, n=104, pt=1510786122.349182, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.3906903]: EncoderMessage(t=1510786122.3906903, n=105, pt=1510786122.369903, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.4214861]: EncoderMessage(t=1510786122.4214861, n=106, pt=1510786122.3906903, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.4421432]: EncoderMessage(t=1510786122.4421432, n=107, pt=1510786122.4214861, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.4731514]: EncoderMessage(t=1510786122.4731514, n=108, pt=1510786122.4421432, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.4939601]: EncoderMessage(t=1510786122.4939601, n=109, pt=1510786122.4731514, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.5247529]: EncoderMessage(t=1510786122.5247529, n=110, pt=1510786122.4939601, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.545443]: EncoderMessage(t=1510786122.545443, n=111, pt=1510786122.5247529, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.5662549]: EncoderMessage(t=1510786122.5662549, n=112, pt=1510786122.545443, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.5977757]: EncoderMessage(t=1510786122.5977757, n=113, pt=1510786122.5662549, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.6183696]: EncoderMessage(t=1510786122.6183696, n=114, pt=1510786122.5977757, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.6493292]: EncoderMessage(t=1510786122.6493292, n=115, pt=1510786122.6183696, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.6702108]: EncoderMessage(t=1510786122.6702108, n=116, pt=1510786122.6493292, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.6910908]: EncoderMessage(t=1510786122.6910908, n=117, pt=1510786122.6702108, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.7220829]: EncoderMessage(t=1510786122.7220829, n=118, pt=1510786122.6910908, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.7427354]: EncoderMessage(t=1510786122.7427354, n=119, pt=1510786122.7220829, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.7737458]: EncoderMessage(t=1510786122.7737458, n=120, pt=1510786122.7427354, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.7943244]: EncoderMessage(t=1510786122.7943244, n=121, pt=1510786122.7737458, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.8252199]: EncoderMessage(t=1510786122.8252199, n=122, pt=1510786122.7943244, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.84595]: EncoderMessage(t=1510786122.84595, n=123, pt=1510786122.8252199, tick=0, dist=0.0, ptick=0, pdist=0.0)
[log buffer end]
[QuadEncoder @ node.py:81][DEBUG] 2017-11-15 17:48:42,846: logging message buffer (len=16432)
[QuadEncoder @ arduino.py:188][INFO] 2017-11-15 17:48:45,579: found 120 packets in 3s (avg=40.0 packets/sec). 233 received in total (avg=38.7 packets/sec)
[QuadEncoder @ node.py:79][DEBUG] 2017-11-15 17:48:45,854: [log buffer start]
[DEBUG, 1510786122.8668902]: EncoderMessage(t=1510786122.8668902, n=124, pt=1510786122.84595, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.8978667]: EncoderMessage(t=1510786122.8978667, n=125, pt=1510786122.8668902, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.9187737]: EncoderMessage(t=1510786122.9187737, n=126, pt=1510786122.8978667, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.9498904]: EncoderMessage(t=1510786122.9498904, n=127, pt=1510786122.9187737, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786122.9705205]: EncoderMessage(t=1510786122.9705205, n=128, pt=1510786122.9498904, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.001318]: EncoderMessage(t=1510786123.001318, n=129, pt=1510786122.9705205, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.0218909]: EncoderMessage(t=1510786123.0218909, n=130, pt=1510786123.001318, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.0425825]: EncoderMessage(t=1510786123.0425825, n=131, pt=1510786123.0218909, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.0735447]: EncoderMessage(t=1510786123.0735447, n=132, pt=1510786123.0425825, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.0944228]: EncoderMessage(t=1510786123.0944228, n=133, pt=1510786123.0735447, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.12643]: EncoderMessage(t=1510786123.12643, n=134, pt=1510786123.0944228, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.1472137]: EncoderMessage(t=1510786123.1472137, n=135, pt=1510786123.12643, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.1679535]: EncoderMessage(t=1510786123.1679535, n=136, pt=1510786123.1472137, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.19896]: EncoderMessage(t=1510786123.19896, n=137, pt=1510786123.1679535, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.2197213]: EncoderMessage(t=1510786123.2197213, n=138, pt=1510786123.19896, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786123.2506576]: EncoderMessage(t=1510786123.2506576, n=139, pt=1510786123.2197213, tick=0, dist=0.0, ptick=0, pdist=0.0)
