[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-28 07:00:06,215: Logging to: logs/2017_Oct_28/OpenCVCamera/07_00_06.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-28 07:00:12,316: Loading capture '1'
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:13,297: received 1 messages in 3 seconds. 1 received in total (avg=0.1 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:16,344: received 46 messages in 3 seconds. 47 received in total (avg=4.6 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:19,407: received 46 messages in 3 seconds. 93 received in total (avg=7.0 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:22,470: received 46 messages in 3 seconds. 139 received in total (avg=8.6 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:25,524: received 46 messages in 3 seconds. 185 received in total (avg=9.6 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:28,585: received 46 messages in 3 seconds. 231 received in total (avg=10.3 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-28 07:00:28,780: [log buffer start]
[DEBUG, 1509188418.8746462]: ImageMessage(t=1509188418.874636, n=84)
[DEBUG, 1509188418.9418423]: ImageMessage(t=1509188418.941831, n=85)
[DEBUG, 1509188419.0028214]: ImageMessage(t=1509188419.0028112, n=86)
[DEBUG, 1509188419.0758245]: ImageMessage(t=1509188419.075813, n=87)
[DEBUG, 1509188419.138816]: ImageMessage(t=1509188419.138806, n=88)
[DEBUG, 1509188419.2027304]: ImageMessage(t=1509188419.2027209, n=89)
[DEBUG, 1509188419.2707932]: ImageMessage(t=1509188419.270783, n=90)
[DEBUG, 1509188419.341181]: ImageMessage(t=1509188419.3411694, n=91)
[DEBUG, 1509188419.407239]: ImageMessage(t=1509188419.4072285, n=92)
[DEBUG, 1509188419.4753015]: ImageMessage(t=1509188419.4752915, n=93)
[DEBUG, 1509188419.5406575]: ImageMessage(t=1509188419.5406487, n=94)
[DEBUG, 1509188419.6024964]: ImageMessage(t=1509188419.6024866, n=95)
[DEBUG, 1509188419.6709292]: ImageMessage(t=1509188419.6709173, n=96)
[DEBUG, 1509188419.7350876]: ImageMessage(t=1509188419.7350762, n=97)
[DEBUG, 1509188419.8017743]: ImageMessage(t=1509188419.8017654, n=98)
[DEBUG, 1509188419.870666]: ImageMessage(t=1509188419.8706563, n=99)
[DEBUG, 1509188419.937644]: ImageMessage(t=1509188419.9376323, n=100)
[DEBUG, 1509188420.0057123]: ImageMessage(t=1509188420.0057027, n=101)
[DEBUG, 1509188420.0698047]: ImageMessage(t=1509188420.0697951, n=102)
[DEBUG, 1509188420.1346323]: ImageMessage(t=1509188420.134622, n=103)
[DEBUG, 1509188420.2028084]: ImageMessage(t=1509188420.2027974, n=104)
[DEBUG, 1509188420.2664902]: ImageMessage(t=1509188420.2664797, n=105)
[DEBUG, 1509188420.3340135]: ImageMessage(t=1509188420.3340037, n=106)
[DEBUG, 1509188420.4035268]: ImageMessage(t=1509188420.4035163, n=107)
[DEBUG, 1509188420.467244]: ImageMessage(t=1509188420.4672327, n=108)
[DEBUG, 1509188420.5342176]: ImageMessage(t=1509188420.5342078, n=109)
[DEBUG, 1509188420.601724]: ImageMessage(t=1509188420.6017146, n=110)
[DEBUG, 1509188420.666215]: ImageMessage(t=1509188420.666206, n=111)
[DEBUG, 1509188420.7342122]: ImageMessage(t=1509188420.7342002, n=112)
[DEBUG, 1509188420.8026128]: ImageMessage(t=1509188420.8026025, n=113)
[DEBUG, 1509188420.864949]: ImageMessage(t=1509188420.8649385, n=114)
[DEBUG, 1509188420.9374642]: ImageMessage(t=1509188420.9374545, n=115)
[DEBUG, 1509188421.0021124]: ImageMessage(t=1509188421.0021026, n=116)
[DEBUG, 1509188421.0700333]: ImageMessage(t=1509188421.070024, n=117)
[DEBUG, 1509188421.1368754]: ImageMessage(t=1509188421.1368659, n=118)
[DEBUG, 1509188421.201358]: ImageMessage(t=1509188421.2013483, n=119)
[DEBUG, 1509188421.2695105]: ImageMessage(t=1509188421.2695, n=120)
[DEBUG, 1509188421.3381627]: ImageMessage(t=1509188421.338153, n=121)
[DEBUG, 1509188421.4015207]: ImageMessage(t=1509188421.4015114, n=122)
[DEBUG, 1509188421.4671242]: ImageMessage(t=1509188421.4671128, n=123)
[DEBUG, 1509188421.5331142]: ImageMessage(t=1509188421.5331042, n=124)
[DEBUG, 1509188421.5979047]: ImageMessage(t=1509188421.5978942, n=125)
[DEBUG, 1509188421.6659741]: ImageMessage(t=1509188421.6659641, n=126)
[DEBUG, 1509188421.7376137]: ImageMessage(t=1509188421.7376006, n=127)
[DEBUG, 1509188421.8013983]: ImageMessage(t=1509188421.8013895, n=128)
[DEBUG, 1509188421.8697038]: ImageMessage(t=1509188421.869692, n=129)
[DEBUG, 1509188421.9297926]: ImageMessage(t=1509188421.929783, n=130)
[DEBUG, 1509188421.9981005]: ImageMessage(t=1509188421.9980898, n=131)
[DEBUG, 1509188422.0705044]: ImageMessage(t=1509188422.0704923, n=132)
[DEBUG, 1509188422.133372]: ImageMessage(t=1509188422.1333606, n=133)
[DEBUG, 1509188422.1989048]: ImageMessage(t=1509188422.1988962, n=134)
[DEBUG, 1509188422.268152]: ImageMessage(t=1509188422.2681437, n=135)
[DEBUG, 1509188422.3325737]: ImageMessage(t=1509188422.332563, n=136)
[DEBUG, 1509188422.400716]: ImageMessage(t=1509188422.4007058, n=137)
[DEBUG, 1509188422.469742]: ImageMessage(t=1509188422.4697304, n=138)
[DEBUG, 1509188422.5321503]: ImageMessage(t=1509188422.5321393, n=139)
[DEBUG, 1509188422.6009555]: ImageMessage(t=1509188422.6008658, n=140)
[DEBUG, 1509188422.6615605]: ImageMessage(t=1509188422.6615496, n=141)
[DEBUG, 1509188422.7294195]: ImageMessage(t=1509188422.72941, n=142)
[DEBUG, 1509188422.7973626]: ImageMessage(t=1509188422.7973528, n=143)
[DEBUG, 1509188422.8615234]: ImageMessage(t=1509188422.8615115, n=144)
[DEBUG, 1509188422.9291387]: ImageMessage(t=1509188422.9291291, n=145)
[DEBUG, 1509188422.9994743]: ImageMessage(t=1509188422.9994645, n=146)
[DEBUG, 1509188423.0641026]: ImageMessage(t=1509188423.0640934, n=147)
[DEBUG, 1509188423.1343083]: ImageMessage(t=1509188423.134297, n=148)
[DEBUG, 1509188423.2002506]: ImageMessage(t=1509188423.2001736, n=149)
[DEBUG, 1509188423.2611701]: ImageMessage(t=1509188423.2611597, n=150)
[DEBUG, 1509188423.32909]: ImageMessage(t=1509188423.3290787, n=151)
[DEBUG, 1509188423.393256]: ImageMessage(t=1509188423.393246, n=152)
[DEBUG, 1509188423.4602618]: ImageMessage(t=1509188423.4602516, n=153)
[DEBUG, 1509188423.5270772]: ImageMessage(t=1509188423.5270712, n=154)
[DEBUG, 1509188423.5930016]: ImageMessage(t=1509188423.5929904, n=155)
[DEBUG, 1509188423.6609764]: ImageMessage(t=1509188423.660966, n=156)
[DEBUG, 1509188423.7282991]: ImageMessage(t=1509188423.7282891, n=157)
[DEBUG, 1509188423.7910109]: ImageMessage(t=1509188423.791, n=158)
[DEBUG, 1509188423.8609097]: ImageMessage(t=1509188423.8608992, n=159)
[DEBUG, 1509188423.9287794]: ImageMessage(t=1509188423.9287689, n=160)
[DEBUG, 1509188423.9928882]: ImageMessage(t=1509188423.9928782, n=161)
[DEBUG, 1509188424.0646348]: ImageMessage(t=1509188424.0645683, n=162)
[DEBUG, 1509188424.1286504]: ImageMessage(t=1509188424.1286411, n=163)
