[OpenCVRecorder @ factory.py:85][DEBUG] 2017-10-28 06:51:48,556: Logging to: logs/2017_Oct_28/OpenCVRecorder/06_51_48.log
[OpenCVRecorder @ recorder.py:46][INFO] 2017-10-28 06:51:48,556: Initialized video recorder. Path set to: videos/2017_Oct_28/BabyBuggy/06_51_48.avi
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:51:56,185: received 0 messages in 3 seconds. 0 received in total (avg=0.0 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:51:59,361: received 25 messages in 3 seconds. 25 received in total (avg=2.3 messages/sec)
[OpenCVRecorder @ recorder.py:101][INFO] 2017-10-28 06:51:59,361: dumping frame buffer. Size: 25
[OpenCVRecorder @ recorder.py:109][INFO] 2017-10-28 06:51:59,362: Writing to 'videos/2017_Oct_28/BabyBuggy/06_51_48.avi'. width = 640, height = 480, fps = 9.267361496526004
[OpenCVRecorder @ recorder.py:114][INFO] 2017-10-28 06:51:59,363: Writing 25 frames
[OpenCVRecorder @ recorder.py:96][DEBUG] 2017-10-28 06:51:59,468: Dumping buffer. 25 frames reached
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:02,487: received 57 messages in 3 seconds. 82 received in total (avg=5.9 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:05,489: received 46 messages in 3 seconds. 128 received in total (avg=7.6 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:08,490: received 46 messages in 3 seconds. 174 received in total (avg=8.7 messages/sec)
[OpenCVRecorder @ node.py:79][DEBUG] 2017-10-28 06:52:10,946: [log buffer start]
[DEBUG, 1509187924.680961]: Recording frame #115. Delay: 0.1337902545928955
[DEBUG, 1509187924.6882424]: Recording frame #116. Delay: 0.0771939754486084
[DEBUG, 1509187924.695097]: Recording frame #117. Delay: 0.01571512222290039
[DEBUG, 1509187924.8799498]: Recording frame #118. Delay: 0.1405801773071289
[DEBUG, 1509187924.8869095]: Recording frame #119. Delay: 0.07931733131408691
[DEBUG, 1509187924.895743]: Recording frame #120. Delay: 0.01712512969970703
[DEBUG, 1509187925.0765162]: Recording frame #121. Delay: 0.1371748447418213
[DEBUG, 1509187925.0870147]: Recording frame #122. Delay: 0.07965278625488281
[DEBUG, 1509187925.096126]: Recording frame #123. Delay: 0.02070021629333496
[DEBUG, 1509187925.2790554]: Recording frame #124. Delay: 0.13963103294372559
[DEBUG, 1509187925.288385]: Recording frame #125. Delay: 0.07860589027404785
[DEBUG, 1509187925.301034]: Recording frame #126. Delay: 0.02265453338623047
[DEBUG, 1509187925.4797235]: Recording frame #127. Delay: 0.1404433250427246
[DEBUG, 1509187925.489746]: Recording frame #128. Delay: 0.08278346061706543
[DEBUG, 1509187925.4990935]: Recording frame #129. Delay: 0.02445054054260254
[DEBUG, 1509187925.6746008]: Recording frame #130. Delay: 0.13214564323425293
[DEBUG, 1509187925.6816492]: Recording frame #131. Delay: 0.07164645195007324
[DEBUG, 1509187925.6889026]: Recording frame #132. Delay: 0.015005111694335938
[DEBUG, 1509187925.8726282]: Recording frame #133. Delay: 0.13037443161010742
[DEBUG, 1509187925.879781]: Recording frame #134. Delay: 0.06961941719055176
[DEBUG, 1509187925.888047]: Recording frame #135. Delay: 0.01617264747619629
[DEBUG, 1509187926.0741856]: Recording frame #136. Delay: 0.13503003120422363
[DEBUG, 1509187926.079746]: Recording frame #137. Delay: 0.06954240798950195
[DEBUG, 1509187926.0849402]: Recording frame #138. Delay: 0.012343406677246094
[DEBUG, 1509187926.2747219]: Recording frame #139. Delay: 0.135878324508667
[DEBUG, 1509187926.2846751]: Recording frame #140. Delay: 0.07921600341796875
[DEBUG, 1509187926.2951646]: Recording frame #141. Delay: 0.02115178108215332
[DEBUG, 1509187926.4756653]: Recording frame #142. Delay: 0.13355302810668945
[DEBUG, 1509187926.4833028]: Recording frame #143. Delay: 0.07728219032287598
[DEBUG, 1509187926.49236]: Recording frame #144. Delay: 0.017460107803344727
[DEBUG, 1509187926.671722]: Recording frame #145. Delay: 0.13305878639221191
[DEBUG, 1509187926.6779838]: Recording frame #146. Delay: 0.07512235641479492
[DEBUG, 1509187926.6827307]: Recording frame #147. Delay: 0.012017488479614258
[DEBUG, 1509187926.8745356]: Recording frame #148. Delay: 0.13583922386169434
[DEBUG, 1509187926.8813882]: Recording frame #149. Delay: 0.07552838325500488
[DEBUG, 1509187926.8886874]: Recording frame #150. Delay: 0.015517234802246094
[DEBUG, 1509187927.0717142]: Recording frame #151. Delay: 0.13311266899108887
[DEBUG, 1509187927.077784]: Recording frame #152. Delay: 0.07503604888916016
[DEBUG, 1509187927.083364]: Recording frame #153. Delay: 0.01268911361694336
[DEBUG, 1509187927.274041]: Recording frame #154. Delay: 0.13939881324768066
[DEBUG, 1509187927.2854302]: Recording frame #155. Delay: 0.08324360847473145
[DEBUG, 1509187927.2911077]: Recording frame #156. Delay: 0.018265962600708008
[DEBUG, 1509187927.4710553]: Recording frame #157. Delay: 0.1341235637664795
[DEBUG, 1509187927.476902]: Recording frame #158. Delay: 0.07199358940124512
[DEBUG, 1509187927.4830618]: Recording frame #159. Delay: 0.012973308563232422
[DEBUG, 1509187927.6738708]: Recording frame #160. Delay: 0.13985848426818848
[DEBUG, 1509187927.6841176]: Recording frame #161. Delay: 0.07859134674072266
[DEBUG, 1509187927.696426]: Recording frame #162. Delay: 0.02372431755065918
[DEBUG, 1509187927.8669696]: Recording frame #163. Delay: 0.1303415298461914
[DEBUG, 1509187927.874764]: Recording frame #164. Delay: 0.07034635543823242
[DEBUG, 1509187927.8829498]: Recording frame #165. Delay: 0.016980409622192383
[DEBUG, 1509187928.0699272]: Recording frame #166. Delay: 0.13590574264526367
[DEBUG, 1509187928.0808535]: Recording frame #167. Delay: 0.07836294174194336
[DEBUG, 1509187928.0914085]: Recording frame #168. Delay: 0.022680997848510742
[DEBUG, 1509187928.270587]: Recording frame #169. Delay: 0.13394641876220703
[DEBUG, 1509187928.2809904]: Recording frame #170. Delay: 0.07735967636108398
[DEBUG, 1509187928.2911386]: Recording frame #171. Delay: 0.021936416625976562
[DEBUG, 1509187928.4691117]: Recording frame #172. Delay: 0.1352832317352295
[DEBUG, 1509187928.4802656]: Recording frame #173. Delay: 0.07852530479431152
[DEBUG, 1509187928.4905996]: Recording frame #174. Delay: 0.022268056869506836
[DEBUG, 1509187928.7347171]: Recording frame #175. Delay: 0.20523762702941895
[DEBUG, 1509187928.744783]: Recording frame #176. Delay: 0.1471552848815918
[DEBUG, 1509187928.7531583]: Recording frame #177. Delay: 0.0875701904296875
[DEBUG, 1509187928.7602446]: Recording frame #178. Delay: 0.02658820152282715
[DEBUG, 1509187928.9379196]: Recording frame #179. Delay: 0.1403801441192627
[DEBUG, 1509187928.9449427]: Recording frame #180. Delay: 0.07756638526916504
[DEBUG, 1509187928.9496844]: Recording frame #181. Delay: 0.013077735900878906
[DEBUG, 1509187929.1305344]: Recording frame #182. Delay: 0.13316583633422852
[DEBUG, 1509187929.1373389]: Recording frame #183. Delay: 0.07178449630737305
[DEBUG, 1509187929.144078]: Recording frame #184. Delay: 0.014595270156860352
[DEBUG, 1509187929.33346]: Recording frame #185. Delay: 0.1330738067626953
[DEBUG, 1509187929.343048]: Recording frame #186. Delay: 0.07579588890075684
[DEBUG, 1509187929.3519452]: Recording frame #187. Delay: 0.019756793975830078
[DEBUG, 1509187929.5329933]: Recording frame #188. Delay: 0.1324446201324463
[DEBUG, 1509187929.543012]: Recording frame #189. Delay: 0.0750737190246582
[DEBUG, 1509187929.5522952]: Recording frame #190. Delay: 0.02010345458984375
[DEBUG, 1509187929.7368956]: Recording frame #191. Delay: 0.13972067832946777
[DEBUG, 1509187929.7442613]: Recording frame #192. Delay: 0.07924318313598633
[DEBUG, 1509187929.7529035]: Recording frame #193. Delay: 0.020140409469604492
[DEBUG, 1509187929.9296243]: Recording frame #194. Delay: 0.1324155330657959
[DEBUG, 1509187929.9412372]: Recording frame #195. Delay: 0.07623863220214844
[DEBUG, 1509187929.9501536]: Recording frame #196. Delay: 0.021087169647216797
[DEBUG, 1509187930.1308432]: Recording frame #197. Delay: 0.1308448314666748
[DEBUG, 1509187930.1367373]: Recording frame #198. Delay: 0.07294917106628418
[DEBUG, 1509187930.1444542]: Recording frame #199. Delay: 0.014171361923217773
[DEBUG, 1509187930.3326893]: Recording frame #200. Delay: 0.13314127922058105
[DEBUG, 1509187930.3426068]: Recording frame #201. Delay: 0.0791616439819336
[DEBUG, 1509187930.3511972]: Recording frame #202. Delay: 0.019675731658935547
[DEBUG, 1509187930.5296144]: Recording frame #203. Delay: 0.13283658027648926
[DEBUG, 1509187930.5362368]: Recording frame #204. Delay: 0.07539796829223633
[DEBUG, 1509187930.5428448]: Recording frame #205. Delay: 0.014220476150512695
[DEBUG, 1509187930.7337983]: Recording frame #206. Delay: 0.13815927505493164
[DEBUG, 1509187930.7432864]: Recording frame #207. Delay: 0.08008193969726562
[DEBUG, 1509187930.753136]: Recording frame #208. Delay: 0.020807266235351562
[DEBUG, 1509187930.933059]: Recording frame #209. Delay: 0.14230036735534668
[DEBUG, 1509187930.9394224]: Recording frame #210. Delay: 0.0761406421661377
[DEBUG, 1509187930.9468472]: Recording frame #211. Delay: 0.015087366104125977
[log buffer end]
[OpenCVRecorder @ node.py:81][DEBUG] 2017-10-28 06:52:10,947: logging message buffer (len=16424)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:11,529: received 44 messages in 3 seconds. 218 received in total (avg=9.5 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:14,536: received 47 messages in 3 seconds. 265 received in total (avg=10.2 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:17,717: received 46 messages in 3 seconds. 311 received in total (avg=10.7 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:20,724: received 47 messages in 3 seconds. 358 received in total (avg=11.1 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:23,902: received 46 messages in 3 seconds. 404 received in total (avg=11.4 messages/sec)
[OpenCVRecorder @ node.py:79][DEBUG] 2017-10-28 06:52:24,981: [log buffer start]
[DEBUG, 1509187931.1336076]: Recording frame #212. Delay: 0.14024901390075684
[DEBUG, 1509187931.1406834]: Recording frame #213. Delay: 0.07743310928344727
[DEBUG, 1509187931.1486027]: Recording frame #214. Delay: 0.016557693481445312
[DEBUG, 1509187931.332961]: Recording frame #215. Delay: 0.13981938362121582
[DEBUG, 1509187931.3396747]: Recording frame #216. Delay: 0.07661223411560059
[DEBUG, 1509187931.3477194]: Recording frame #217. Delay: 0.016196489334106445
[DEBUG, 1509187931.5296788]: Recording frame #218. Delay: 0.13396978378295898
[DEBUG, 1509187931.5378077]: Recording frame #219. Delay: 0.07747650146484375
[DEBUG, 1509187931.5481327]: Recording frame #220. Delay: 0.02006363868713379
[DEBUG, 1509187931.7282455]: Recording frame #221. Delay: 0.13606691360473633
[DEBUG, 1509187931.7349582]: Recording frame #222. Delay: 0.07192063331604004
[DEBUG, 1509187931.7411718]: Recording frame #223. Delay: 0.014248132705688477
[DEBUG, 1509187931.9299004]: Recording frame #224. Delay: 0.13526487350463867
[DEBUG, 1509187931.9412992]: Recording frame #225. Delay: 0.07859373092651367
[DEBUG, 1509187931.9516494]: Recording frame #226. Delay: 0.023403644561767578
[DEBUG, 1509187932.1291263]: Recording frame #227. Delay: 0.1372356414794922
[DEBUG, 1509187932.1357014]: Recording frame #228. Delay: 0.0757746696472168
[DEBUG, 1509187932.1402786]: Recording frame #229. Delay: 0.012792587280273438
[DEBUG, 1509187932.329735]: Recording frame #230. Delay: 0.13796138763427734
[DEBUG, 1509187932.3370533]: Recording frame #231. Delay: 0.07956576347351074
[DEBUG, 1509187932.3461764]: Recording frame #232. Delay: 0.018117189407348633
[DEBUG, 1509187932.5273213]: Recording frame #233. Delay: 0.13554596900939941
[DEBUG, 1509187932.533973]: Recording frame #234. Delay: 0.07534575462341309
[DEBUG, 1509187932.54336]: Recording frame #235. Delay: 0.016785144805908203
[DEBUG, 1509187932.7313557]: Recording frame #236. Delay: 0.13977980613708496
[DEBUG, 1509187932.741586]: Recording frame #237. Delay: 0.08318948745727539
[DEBUG, 1509187932.753199]: Recording frame #238. Delay: 0.025712966918945312
[DEBUG, 1509187932.9274275]: Recording frame #239. Delay: 0.13286733627319336
[DEBUG, 1509187932.93432]: Recording frame #240. Delay: 0.07540512084960938
[DEBUG, 1509187932.9440768]: Recording frame #241. Delay: 0.017327308654785156
[DEBUG, 1509187933.1252394]: Recording frame #242. Delay: 0.13074064254760742
[DEBUG, 1509187933.1336143]: Recording frame #243. Delay: 0.07511186599731445
[DEBUG, 1509187933.144714]: Recording frame #244. Delay: 0.02004075050354004
[DEBUG, 1509187933.326235]: Recording frame #245. Delay: 0.13893866539001465
[DEBUG, 1509187933.3342974]: Recording frame #246. Delay: 0.07645082473754883
[DEBUG, 1509187933.3414776]: Recording frame #247. Delay: 0.016655683517456055
[DEBUG, 1509187933.5277205]: Recording frame #248. Delay: 0.14081978797912598
[DEBUG, 1509187933.5336826]: Recording frame #249. Delay: 0.0752711296081543
